Name;ID;Content;Comments;Retweet;Likes
Andrés Clavijo Rangel;ClavijoAndres83;"A propósito de lo que está pasando en Colombia: La rabia y el miedo inducidos, son sentimientos potentes para manipular a las personas y poder justificar después medidas extremas como “la solución”. 

#23NParoNacional #ParoNacionalColombia #23Npic.twitter.com/ziJQNqGLpS";1;8;8
Efrapotter;efrapotter;"—¿Y en tú país la policía coge ladrones?
—Ni entre 20 cogen uno

Ahhhh pero ponga estudiantes a marchar y hasta les sacan los ojos.

#teoriadelpanico
TODO ES UN MONTAJE DEL ESTADO
#23NParoNacional
pic.twitter.com/AI2oKvNwVp
#teoriadelpanico
#PanicoInducido";9;167;226
Felipe Cárdenas  ??;Pizza_Sin_Pina;"Debo confesar que anoche sentí miedo, preparé mi casa y cada momento estaba pendiente del cuarto de mi hermanita por si algo pasaba...

JUGARON CON NOSOTROS HIJUEPUTAS PERO NO PARAMOS.

#23NParoNacional #23NElParoSigue pic.twitter.com/4Fc6kFAxYI";18;251;404
Heidy Sánchez;Heidy_UP;Quiero denunciar a estos vándalos tirapiedras, que andan dañando las cosas de la gente, les presento a quienes son los que dañan la movilización a la @PoliciaColombia @PoliciaBogota #TeoriaDelPánico #23NParoNacional pic.twitter.com/HJGDc92TOw;18;384;384
Laura Sofia Parra;LauraSofiaC_;Marchemos de una forma diferente. ¡Disfrutemos el paro!;;1;3
Jonny Barco;jonnybarco;No más falsos positivos. No más falsas banderas ;;13;27
La Oreja Roja;LaOrejaRoja;"En Bogotá uno de los vándalos fue atrapado por la comunidad. Al verse reducido, confesó que le habían pagado 50 mil pesos por generar miedo en unidades residenciales.

#23NParoNacional 
#teoriadelpanicohttps://www.laorejaroja.com/fue-el-toque-de-queda-un-gran-falso-positivo-todo-es-un-montaje-del-estado/ …";33;889;1.0K
Indignados Colombia;ManosLimpiasCo;"Vamos todos con este HT para que todo el mundo sepa lo que gobierno hizo anoche en la capital y no vuelva a pasar.

Ellos no pueden jugar con la estabilidad emocional de millones de personas.

Vamos todos sincronizados 

#FalsoPositivoEnBogota 

#23NParoNacional #Cacerolazo23N pic.twitter.com/UYsgxSS2hL";2;44;46
Ed Pardo;pardocorp;Saca un trapo blanco en tu ventana, no te pueden asustar, tu protesta silenciosa. ;;;1
Sebastián Rodríguez;Sebas__r7;"""Marchemos, gritemos, protestemos... Que cuando se escriba la historia de este tiempo que nos tocó vivir, se sepa que NO estuvimos de acuerdo.""

#23NParoNacional
#ElParoSiguepic.twitter.com/U6IOgfIyEZ";;2;15
Malopez102938;malopez102938;"¡¡¡GENIAL!!!

 @RobinsonDiazU

#23NParoNacional https://twitter.com/RobinsonDiazU/status/1197953129293271041 …";;1;6
Dra. Pio Pio;Ten_piedad_;Genial!!! ;;3;7
Camila  ??;kamyreal13;Firmes ;3;7;36
Alejandro Pérez;CangrejoPerez;"No soy de izquierda ni derecha, solo quiero un mejor país. Si tú quieres encasillarme por no compartir tu ideología política, ese es tu problema.

No el mío.

#23NParoNacional";1;6;35
Piedad Córdoba  ???;piedadcordoba;"Ustedes creen que con 20.000 policías que hay en Bogotá más quien sabe cuántos soldados...

 ¿Y no cogieron a ninguno de los 'vándalos' que se me se 'estaban metiendo' a los conjuntos? ¿ni uno? 

No nos crean tan pendejos!! esto fue #PanicoInducido

#23NParoNacional !!!";106;1.2K;2.4K
Call Me Daniel  ??;CallmeDxn;el paro debe seguir, no nos podemos dejar ver la cara! El pueblo debe resistir. ;34;345;922
Jesús Andrés Díaz Arrieta;AltivoxAndre;El gobierno cree que está generación es igual que las dos anteriores! Con nosotros si se van a joder nuestros padres y abuelos se queda callados, nosotros no!!! #23NParoNacional;46;453;1.3K
maldito pedro miguel;malditopedrom;"Si ud es de los que considera que el verdadero problema de la situacion de Colombia es el vandalismo y los saqueos, y culpa a la protesta, ud tiene serios problemas de perspectivas y prioridades #23NParoNacional 
#teoriadelpanico";18;186;556
Andrés Trece;AndrsTrece;"Hoy... seguimos indignados. 
Por nuestros niños: #23NParoNacional pic.twitter.com/SuNjO6E8um";9;130;325
Andrés Trece;AndrsTrece;"A Duque le quedó grande el país. A Peñalosa le quedó grande la ciudad (desde hace años). A la policía le quedó grande hasta contestar el teléfono. 
¿Pero al pueblo? Las cacerolas no alcanzaban. 
#23Nov #23NParoNacional";8;225;604
Jei;je1ss0n;Por favor cuidemos de ellos en las calles, ellos no entienden que pasa  ;5;244;632
No Heterosexual;sergioandresbm;Los vándalos pagados por el Estado bajándose de los camiones en mi cuadra;;61;243
Abeja de la Resistance  ?? ??;AAguacatera;"Lo que hace el Gobierno es de manual.

Inició la dictadura el viernes y usted no se dió cuenta. Ahora la gente aplaude a los militares en las calles. Ese truco es de manual, ojo!

Luego vendrá la desaparición de estudiantes y profesores a media noche. 

#23NParoNacional pic.twitter.com/etxc5DL16m";5;154;217
Call Me Daniel  ??;CallmeDxn;Paro Nacional por la falta del respeto ante el pueblo El Paro Apenas Comienza;6;311;639
Jhoey  ?? ?? ??;Jhojitan92;Mientras el insomnio leí un artículo sobre lo sucedido en Chile y ver cómo la gente no retrocedió, ellos continuaron a pesar de la declaración de estado de emergencia y toques de queda, es el momento de seguir! Nos quitaron tanto que hasta miedo ya no tenemos #23NParoNacional;18;309;802
felipe  ??;OrozcoFelipe_;"buenos días, buenos díaaaasssss. Hoy el Paro Nacional y la lucha por nuestros derechos en este platanal continúan con todaaaaa.
¡NO NOS DEJEMOS INFUNDIR MIEDO!

#23NParoNacional pic.twitter.com/LIcGBrbDZ5";;10;12
Tatiana Bojacá;tatianabojaca_;No permitamos que sigan acabando con lo poco que tenemos.  ;;9;20
Karent Tatiana Alfonso;KarentAlfonso;Hasta donde llega el p*to gobierno para lograr callarnos, por eso hoy más que nunca ;13;170;502
millerlinares;millergenuine;luego de una noche llenos de valor seguir sin miedo... ;;28;51
María A. ???? ???? Torre, Ph.D.;Caidadelatorre;"Ya empezaron los periodistas mercenarios del régimen a sembrar el terror por una falsa emergencia fabricada por miembros de la Policía. 

Pero, saben qué? EL PARO SIGUE!!!
#23NParoNacional pic.twitter.com/7GLq6syZJH";16;111;334
Esteban;in_mundofeliz;"La noche de ayer en Bogotá fue un homenaje al capítulo del Coco de los Simpson. 

#23NParoNacional";;60;221
Alejandro López Mora;AlejoLopezMora;"Somos un pueblo sin memoria por estamos condenados a repetir lo que ya hemos vivido. Anoche al igual que en el 77 el toque de queda y los ""saqueos"" son para deslegitimar la protesta.
#23NParoNacional pic.twitter.com/FH9nABI0dS";18;651;942
Andrea  ??;LaRabicortica;Nosotros dizque esperando que los vándalos entraran a nuestra casa y resulta que se nos metieron fue en la casa de Nariño ;3;188;557
Una tipa cualquiera;monicamartin96;Cesó la horrible noche y paro continúa ;3;96;288
Alison ????;rusinwhat;"Anoche todo confirmamos que ""nos regalan miedo para vendernos seguridad"" por eso es hoy más juntos que nunca debemos estar. ";5;235;514
Jesús Andrés Díaz Arrieta;AltivoxAndre;hoy es el día!!! ;4;44;66
Gabriel Ramón;Cosmecastell;"Bogotá hoy amanece con 5 tendencias que demuestran que no nos tragamos el montaje. 

#TeoríaDelPánico 
#EsElEstado 
#PanicoInducidopic.twitter.com/PZHoS9Dp5H";4;208;377
Divier Padilla;DIVIERPADILLA;Mañana Paro Nacional con más razón para protestar. Por que ESTO ES UN MONTAJE DEL ESTADO ;;26;120
@AdelitaSM;adelitaSM;"Queda demostrado que el peligro más grande que tiene Colombia es el gobierno y sus cómplices Fiscalía, Policía Nacional, Esmad, Militares, Inpec ............ 

El paro debe continuar desde la resistencia #ParoNacionalColombia  #23NParoNacional";6;147;290
Juliana Castellano;twdejuliana;#URGENTE De este #23NParoNacional concluí que gracias a Dios deje de ver TV Nacional hace rato, así que de esas “figuras públicas” llamados Actores y Actrices, me resbalan sus opiniones sesgadas y oportunistas.;;20;87
????? ???;CEDP1977;TODO ES UN MONTAJE DEL ESTADO ;;5;9
FARC;PartidoFARC;"Por un país para todos y todas. ParoNacional rechazando la violencia de quienes quieren atacar la movilización legítima de la gente del común.

El cuidado y la empatía generarán los cambios que necesita este país. pic.twitter.com/UDkW5debzJ";11;68;250
Duber;uribeduber;Nuestros honorables policías colaborando con saqueos #23NParoNacional pic.twitter.com/cG157H0C6T;2;32;37
