Name;ID;Content;Comments;Retweet;Likes
redfish;redfishstream;"After Haiti, Ecuador and Chile, now also Colombia is fighting back against neoliberal policies. 

Scenes from the strike, riots and mass protest in Bogota this week. #paranacional #21NSomosTodos pic.twitter.com/6NOB7HmqYL";14;676;818
Bitterfck;Bitterfck1;#COLOMBIA Cali, Colombia in a state of chaos tonight as looting takes hold amid curfew. #21NSomosTodos pic.twitter.com/fYPfYbp9FK;5;39;48
The Trash;Angurrientoo;"#21NSomosTodos

Joker was seen today in Colombia pic.twitter.com/H5xM8yhr3i";5;108;263
T?lí?;_Natafen;¡Grande, Kevin Rivery! #21NSomosTodos #ParoNacional #Colombiapic.twitter.com/JlSDQbEl10;10;575;1.1K
Laura  ???? ????;charruatleti;DIFUNDAN #21NSomosTodos pic.twitter.com/OIMkvk2WOg;1;185;159
teleSUR English;telesurenglish;"#Colombia | Heavy police repression in Medellin, near the University of Antioquia. 

#21NSomosTodos #Paro21Noviembrehttps://twitter.com/teleSURtv/status/1197709411474661376 …";3;221;233
teleSUR English;telesurenglish;"#Colombia | 'Cacerolazo' in Bogota against the government of #IvanDuque.  

#21NSomosTodos pic.twitter.com/JkavPIZdZP";4;79;124
MAR  ???  ???? #TodosSomosDylan | oracle of daegu;raconteurmin;"“Sorry for the inconveniences, this is a revolution”

#21NSomosTodos pic.twitter.com/Qaj4jVTHvt";2;17;72
Jonathan Alvarez  ??;jonalvarezz;Munich  #21N #21NSomosTodos pic.twitter.com/4AcDKUZNGr;;104;372
MAR  ???  ???? #TodosSomosDylan | oracle of daegu;raconteurmin;"“mom, if I don't come back, it was the state”
#21NSomosTodos pic.twitter.com/g3GeECHQa2";1;25;71
EL PARO SIGUE HPTA.;DannasMybabe;"Proud. 

#ParoNacional #21NSomosTodos pic.twitter.com/e7KiW2QMc5";1;53;121
teleSUR English;telesurenglish;"#Colombia | Pension reform, labor reform, fracking and other measures that threaten the environment, leaders killed, the death of minors in a bombing and budget for higher education are some of the reasons why Colombians are protesting.

#21NSomosTodos #MarchaEnPaz #ParoNacionalpic.twitter.com/FRQ8ZlmqMT";2;130;166
a ?'s #??;jeonlvr;"""the hawk helicopter can identify me in a protest but can't identify innocent children before a bombing."" #ParoNacional #21NSomosTodos pic.twitter.com/aPu5Ckn44L";5;253;657
Alejandro Suárez;tzngrmm;Colombia is pushing for a better future. We need to be heard. #21NSomosTodos #ParoNacional #21Npic.twitter.com/ULsXgOoz6L;1;23;51
Camila Zapata Besso;CamilaZBesso;I was so proud to pick my dad up from the protest outside the Colombian Embassy in London tonight. I couldn't make it so he went by himself with his banner to sing with others in the cold. Estoy muy orgullosa de ti papa, y de todos #21NSomosTodos pic.twitter.com/63cd9xKeMU;1;25;96
euronews;euronews;Facing protests in which three police officers were killed, Colombia's president Ivan Duque has imposed a curfew in Bogotá #paranacional #21NSomosTodos https://www.euronews.com/2019/11/23/curfew-imposed-in-bogota-colombia-amid-violent-anti-government-protests?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1574534436 …;3;9;4
Tomás;tomscs;mood #21NSomosTodos  #AsiVaElParo  #ParoNacionalpic.twitter.com/aPB4bJb0Dk;5;2;25
WimmoFreedom;WimmoFreedom201;"West Papua Militant joined solidarity for  Colombia protest against governments of Colombia for killing innocent women's and children's in Colombia, London.
#WestPapua4Colombia
#21NParoNacional
#YoParoEl21N
#21NoviembreParoNacional 
#21NSomosTodos 
#WestPapua
#PapuaMerdeka pic.twitter.com/CTptcZXEuA";;5;11
