Name;ID;Content;Comments;Retweet;Likes
Camilo Rodríguez;CamiloRod_;"¡Eso no es un gobierno, son los paracos en el poder!
#24NElParoSigue #ParoNacional pic.twitter.com/qkyXmVi4QM";64;1.3K;2.9K
David Aubergier Rico;frenchiekiwi;Paro Nacional on Plaza Bolívar, heart of Bogotá. Mostly young protesters continue to demonstrate against the government. Day 4 of the protests. ;;1;8
no mushrooms;nosupermario;Cacerolazo ;4;144;453
DW Español;dw_espanol;"Duque comenzó el diálogo con alcaldes y gobernadores

""La oposición y los organizadores del Paro Nacional se sienten excluídos"". La #UE rechazó los actos de violencia por empañar el derecho a la protesta.

Análisis: @CorreAlexandra @JennyPerezTV (jr)pic.twitter.com/ac8qA8jqDC";9;146;203
EL TIEMPO;ELTIEMPO;Las protestas del ParoNacional también se vivieron adentro de El Campín;20;50;192
Mafe Carrascal;MafeCarrascal;A parar para avanzar, ¡viva el #ParoNacional!;15;104;390
EL TIEMPO;ELTIEMPO;"""Le recomiendo al presidente Duque llamar a los sectores sociales para que se reúnan con él"". La alcaldesa electa de Bogotá, ClaudiaLopez, dio declaraciones sobre el diálogo que mantuvo con el presidente @IvanDuque acerca del Paro Nacional ";17;79;239
Bogotá, D. C.;Bogota__DC;"El Paro Nacional en Bogotá ha unido a la Guardia Albirroja  barra de Santa Fe y sus rivales históricos los Comandos Azules  barra de Millonarios que ahora se manifiestan en paz con arengas. 
";18;496;1.5K
Daniela en Paro Nacional;DanielaC_09;"""Que por mis estudiantes me paro con quién sea""";42;1.6K;5.4K
Colombia Informa;Col_Informa;Siguen llegando personas a la Plaza de Bolívar en Bogotá que mantienen el ParoNacioal  Duque Renuncie Ya No Mas ESMAD;28;544;1.3K
Movimiento Naranja;MovNaranja3;"Camioneros anuncian que se unirán a Paro Nacional.

Añañay

Noticia en desarollo...";122;1.0K;4.5K
Luciana;inlonight;"Uribe
ASESINO
El pueblo esta ENOJADO CONTIGO";8;271;638
Mafe Carrascal;MafeCarrascal;"Que mañana inicia el diálogo, claro, pero Duque se reunió con los empresarios antes que con los líderes del paro. 

Inicien o no mañana, en las calles hay que seguir hasta que se negocie y veamos de manera tangible la voluntad del gobierno.

 #ParoNacional #ElParoDebeSeguir";18;154;422
Fernando Carrillo F.;fcarrilloflorez;Yo hubiera querido que el gobierno convocara al diálogo social de manera inmediata incluyendo a quienes convocaron el paro nacional, pero también hay que aclarar que deben quedar excluidos quienes quieren presionar mediante métodos violentos @CaracolRadio;99;197;563
