Name;ID;Content;Comments;Retweet;Likes
Megan Janetsky;meganjanetsky;While masses gather in Plaza Bolivar, a small group playing music and lighting candles gathers around the site where riot police gravely injured, Dylan Cruz, a young protester yesterday. Cruz has turned into a symbol for many protesters taking to the streets;;5;9
Daniel Vargas  ??  ????;DanneRoyce;"PEACE  PAZ 
WAR IS OVER... johnlennon
 ";;1;3
Startboii;Startboii1;"Some Reasons why my country Colombia  is on a national strike right now blended with my fav thing Pokémon
please read it 
--
Algunas Razones por las cuales mi país Colombia está en un gran paro nacional en estos momentos, fusionada con una de mis cosas favs: Pokémon
#21Npic.twitter.com/lRMhqjHets";11;106;243
David Aubergier Rico;frenchiekiwi;Irony: “Respect Colombia” Graffiti on a school built in 1604. ;;;3
Joshua Collins;InvisiblesMuros;"Bogota is under curfew and military has been deployed among ongoing protests that aren't likely to end anytime soon. Hundreds of thousands have participated in an ongoing national strike

Some video of my time here so far and a mini-explainer
#ParoNacional #23Nov  RTpic.twitter.com/yi4z4IpDuv";16;191;296
matt  ????;jiminslate;"Why are there protests in Colombia? - a little thread 

#ParoNacional #Cacerolazo22N #22Nov #ReportoEnCitypic.twitter.com/evdNzxnJEh";3;39;56
Giovanny Verano;Giovasummer;"Hundreds of thousands of people went on national strike in Colombia 3 days ago.

All the manifestations in every city around the country is looking this strong! 

The movement to bring real change is huge! Together we will make this a better world for all #NotMeUs 

#ParoNacional pic.twitter.com/vZSWISbvcW";;23;49
nonouzi;Gerrrty;"Colombia Police fire tear gas as Bogotá is placed under curfew  
";;37;28
The Bogota Post;BogotaPost;Bogotá mayor's office confirms that most of the reports of robbers were untrue, that there are no major issues in the city anymore, that it could have been an organised plan to create fear among citizens and calls for people to remain calm.https://twitter.com/Bogota/status/1198102321693151232 …;1;5;12
Lukas Kapunkt;LukasKapunkt;(1/2) Right now in Bogotá: peaceful protesters facing violent police sending tanks, shooting tear gas and stun grenades one more time ;2;;2
Armageddon't J ParoNacional;Bex_Est_Perdu;Am I translating one of the Dr Pangolin's videos just to show it to the BeMo's fan group?;;;
Nathália Urban;UrbanNathalia;GRAPHIC IMAGE “Don’t play with the fear of our families”, ESMAD (Mobile Anti-Disturbance Squadron) shot a protester in the head in Bogota;1;;3
Justice for Colombia;JFColombia;Colombian police attacking peaceful protesters. Here in the main square in Bogota protesters singing the Colombian national anthem are hit with tear gas from the riot police. #ParoNacional https://twitter.com/Citytv/status/1198348290229751808 …;1;6;7
Nicolás Maduro;maduro_en;From this Thursday, Colombia protested against different policies of the government of Ivan Duque. Read in detail the reasons for the strike ;;19;15
Rufus;RufyLG1;Chants of “SIN VIOLENCIA” responded to with tear gas and stun grenades here at #ParoNacional in #Bogotapic.twitter.com/UTLswtM7Lq;;;1
Richard McColl;CasaAmarilla;Pots and pans at midday in bogota as impromptu cacerolazo performances continue!;;1;3
?????????????? ?(?•??•?)? ??;ThePotatoSheep;"Say whaaaaaaaat?!
 
#22N #ParoNacional #Cacerolazopic.twitter.com/kVYIwkhi5I";1;3;2
LE;dizizle9;FACTS , EL PARO GOING ON;;2;15
The Bogota Post;BogotaPost;Landing in Bogotá airport after 9pm? We've heard that if you keep your boarding card, you'll be able to get an authorised taxi to your destination. If the police stop you, you should be OK if you can show it to them. Uber and Beat are not working. ;;1;2
Armageddon't J ParoNacional;Bex_Est_Perdu;While we are at it, I think I should make the December's poll so I got ready the profile picture to post it as soon as the Novena starts...;1;;
Armageddon't J ParoNacional;Bex_Est_Perdu;I think I'm going to make the vampire witch again, but with one of the fabulous photos, that lovely StubornGirlGeek took for her Photography project...;;;
Katja@FairChange;katjanoordam;Today 3 years ago Colombia signed its peace agreement. What has come of its 2nd chapter on guarantees for peaceful protest, with 3 people dead during last days’ mass protests and 18 year old Dylan fighting for his life due to excessive police violence?? ;;1;1
Richard McColl;CasaAmarilla;Parque de Hippies tonight in Bogota paronacional colombia ;;2;2
Pablo Espinosa;pabloespinosa09;The Fascinating Way Hong Kong's Protesters Neutralize Tear Gas Canisters;;5;5
The Bogota Post;BogotaPost; Ley Seca has definitely finished at noon today.;;;4
The Bogota Post;BogotaPost;" Feel like you have a guayabo from last night's news, even in ley seca? We attempt to sort fact from fiction. 

";;2;7
Ramiro Manzano Nunez;RamiroManzano1;Current situation un Colombia. People are protesting on streets to achieve more equality for the country. The government of @IvanDuque Is not doing its job! #ParoNacional pic.twitter.com/8Hhixaxk7i;;;11
Daniela C. Castillo A.;Daniela_C93;"We see with concern the acts of violence during the #ParoNacional and we urge the authorities to respect the right to protest and make proportionate use of force. We reject the violent who take advantage of the mobilizations to commit crimes.
Respect life #HumanRights #Colombiahttps://twitter.com/narradorespaz/status/1198372077713199105 …";;;2
Enough 14;enough14;Preliminary assessment of the November 21 national strike ;;15;10
EdicsonParra;parra_edicson;The protest #ParoNacional hasn't finished yet. Our voice is echoing from Cali's sunset. We won't stop #NoMasMiedo #RightToKnowpic.twitter.com/GhIbfYWYWZ;;;9
Lupe Velez;LupeVel56444979;I'd be delighted to live a thousand adventures by your side ;1;3;1
Manuel Zárate;ManuelZarateO;Let's support PARO NACIONAL;;3;
Armageddon't J ParoNacional;Bex_Est_Perdu;While we are at it, what theme do you want December's Hiroto to be?;1;;
ubique;PersonalEscrito;"The young man shot in the video is Dylan Cruz. He is in critical condition after surgery. Protesters sing for Dylan's life.
";3;19;22
