Name;ID;Content;Comments;Retweet;Likes
teleSUR English;telesurenglish;"#Colombia | Banging pots to call for attention, thousands of people gathered in Bogota to reject President #IvanDuque and his neoliberal policies.
#23NParoNacional #23Nov #Cacerolazo23Nhttp://bit.ly/2rnEnAV ";;18;25
Danielle ??;danielagb322;NO MORE FAKE NEWS #23NParoNacional;1;2;20
Megan Janetsky;meganjanetsky;Things are calm, but Bogota certainly starting to look like a war zone. Military with biiiiiig guns lining every street corner near where I’m staying in Chapinero. 99% of stores closed after vandalism last night. #23NParoNacional pic.twitter.com/uSQDI60Evz;6;14;17
 ??;astrotaim;If Colombian government was brave enough to kill and dress to 10.000 people as subversives to showcase that they were winning a war, I’m not surprised that they’re actually paying & infiltrating people to generate panic #23NParoNacional #ChaoDuque;2;52;93
Mila;Milatrud11;"Latin America:
Violent anti-government protests in Colombia:
-3 officers killed in bomb blast
-3 protesters killed
-Bogota under curfew

There's a wave of similar demonstrations in
Chile
Bolivia,
Ecuador
Nicaragua
 https://www.theguardian.com/world/2019/nov/23/colombian-protests-flare-again-as-looting-erupts-in-bogota … via N Fatah #23Nov #23NParoNacional";2;5;8
laulararo;laulararo;This is what is happening in my country. Moreover, the government inducing fear, the world has to know. #23NParoNacional https://twitter.com/natashafatah/status/1198216253627928576 …;2;28;59
Joshua Collins;InvisiblesMuros;20 or so military police deployed to my block in Chapinero. I still can't believe we're under curfew #23NParoNacional;8;11;25
Aucun;elnadaista;#elparosigue #23NParoNacional remember remember the month of November ;1;9;20
Maisa Patiño;FallenMaisa;"Psychological terror, the new domain of this misruled power.
We can't be equally panicked as they are since Duque's in office.
They destroyed our dreams, now they want our sleep. 
#PanicoInducido
#23NParoNacional";1;5;16
laulararo;laulararo;Watch how Hong Kong protesters extinguish tear gas https://youtu.be/VAbrQZOcGDo  via @YouTube #23NParoNacional !!;;;1
Aziz;Aziz_NumbOne;"""Progress is impossible without change, and those who cannot change their minds cannot change anything."" - George Bernard Shaw

#WHUTOT West Ham #MMKGabAndMax Valverde #Amici19 #23NParoNacional #??????????? Pellegrini Eat Jin Talat Atilla";;;2
Peace Brigades International - Canada;PBIcanada;Protests continue in Colombia, curfew imposed on Bogota as human rights concerns mount, https://pbicanada.org/2019/11/23/protests-continue-curfew-imposed-on-bogota-as-human-rights-concerns-mount/ … #ElParoSigue #23NParoNacional #ParoNacionalColombia #ParoNacional;;6;6
Mir Zishan;mir_zisha9;"Innovative Water Show

https://youtu.be/ywn745JUjbk 

#runaway, #t_tocu, #paraswinninghearts, #bedarasa, #soobin, #got7now, #dontletmego, #evaluasibpjs, #gsbxcatexpo6xbas, #zephanie5daysleft, #eunhyuk, #maharshi, #23nparonacional, #granrodeo, #changbin, #faf, #odetoyouinbkkday1,";;1;2
